cell_id,weighted_population,historical_density,weighted_housing_units,log_density,log_pop,r_j,cluster_label
82,84.82899806632665,0.00044891961814789104,44.289284808549525,0.3708181877817865,4.452356922194984,-0.2690642768654205,3
83,22.658129902568454,0.0002433901544175313,10.019077774652462,0.21784164454728627,3.1637068149601255,-0.121306344112601,3
84,5.523720545761012,9.194739166884516e-05,3.454890914128793,0.08796270003477523,1.8754448490407507,0.049458606160634286,1
85,4.006129506849843,1.802890032722454e-06,2.4865031382708924,0.0018012667772286657,1.6106630630005292,0.025089750445069087,1
86,2.543154786553048,1.0817340196334724e-05,1.3505617026359389,0.010759251307922643,1.2650175129203063,0.11471162721240112,7
87,2.5731189779068058,3.4254910621726625e-05,1.3358255988376444,0.033681274350748434,1.273438877649142,0.13566834198837788,7
88,2.5646596197261275,1.0817340196334724e-05,1.3380639364669693,0.010759251307922643,1.2710685709702205,0.11329948146267964,7
89,1.6346568331575015,4.687514085078381e-05,0.7843220359474833,0.04580967057531744,0.9687529394163046,0.21890181589130353,7
90,2.7630751571094465,2.3437570425391905e-05,1.389743934392673,0.02316712809412868,1.3252364840691564,0.11306609987341398,7
91,2.763075157110361,2.8846240523559265e-05,1.3902408318032666,0.02843801956772775,1.3252364840693993,0.11833699134695637,7
92,2.7630751571183407,1.6226010294502088e-05,1.3907378205281224,0.016095775494983776,1.32523648407152,0.10599474727371747,7
93,2.2404325942757666,9.01445016361227e-06,1.132346166551803,0.00897406254108627,1.1757068376434496,0.1337690232392694,7
94,7.509097250894986,5.2283810948951167e-05,4.025506813857043,0.050962860201691225,2.1411358559823856,-0.04954599764875344,1
95,2.4626843761788737,1.802890032722454e-05,1.320652051094758,0.017868307044835906,1.2420441195336978,0.1271820229926541,7
96,1.0,1.802890032722454e-06,0.0494342398808472,0.0018012667772286657,0.6931471805599453,0.23921199865400342,7
97,1.0,1.4423120261779633e-05,0.3931614011566482,0.014320096497260232,0.6931471805599453,0.251730828374035,7
98,702.9004643457816,0.0008924305661976148,303.11440841407597,0.6378620167251643,6.556636960289649,-0.4930998736203651,6
99,984.8912702110132,0.005277059125778623,515.8673313398647,1.8369015787236629,6.893546074902391,0.6273146330046278,5
100,1099.6252105248057,0.0008852190060667249,679.2243665371258,0.6340439977409581,7.003633670527959,-0.6012342781516332,6
101,1085.9966581109245,0.0015901490088612044,614.2599907602389,0.951715406435366,6.99117381270151,-0.2806550911601714,6
102,954.1343452177564,0.001353970414574563,630.4722797373495,0.8561034406089619,6.86185200620753,-0.346087006178872,6
103,4.389485760736083,0.00010817340196334725,2.7353250647282845,0.10271307604716967,1.6844499741980343,0.10878178225243745,1
104,4.346487432569134,9.01445016361227e-06,2.009029814798941,0.00897406254108627,1.676439790621544,0.016912118965559088,1
105,4.699892274274213,9.01445016361227e-06,2.17164704325878,0.00897406254108627,1.7404472754117735,0.001974582942720104,1
106,4.699892274249862,2.3437570425391905e-05,2.172424046641816,0.02316712809412868,1.740447275407501,0.016167648496759605,1
107,4.699892274275041,2.3437570425391905e-05,2.1732011930946764,0.02316712809412868,1.7404472754119187,0.016167648495728652,1
